Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	blue to purple||pink to red||white	simple	entire	bilaterally symmetrical	5||3	fused into a cup or tube	6	dry and splits open	6	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	no marks	no	?	?	?	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	petals about same size as sepals	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	<=20	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	height is greater than width	with hairs	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	?	?	?	15^40	widest near the middle and tapering at both ends (elliptic)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes||no	?||at the basal margin	?	entire	0	one	?	?	no	?	?	at least one full leaf above the base	80^150	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	no ribs or wings	by two main valves, teeth or pores	?	?	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	1^4	?	yes	?	?	?	0	?	?	?	?	resemble petals in color and texture	pink to red||white	egg-shaped, but with the widest point above the middle (obovate)	one or more is much narrower or shorter than the others	?	?	spherical	?	6	?	?	0	?	?	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is very shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	?	upright or angled outwards	?	?	?	?	?	?	?	?	?	0	?	?	?	13^19	attached by its base to the filament	?	?	?	?	?	?	?	?	?	?	0	Polygala paucifolia	Polygala	Polygalaceae	Fabales
terrestrial	blue to purple||pink to red||white	simple	entire	bilaterally symmetrical	5||3	fused into a cup or tube	8	dry and splits open	?	no	fused	some||no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	no marks	no	?	?	?	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	petals shorter than sepals	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	<=6	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	height is greater than width	with hairs	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	?	?	?	10^30	very narrow with more or less parallel sides (linear)||lance-shaped; widest above the middle (oblanceolate)||rectangular with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	2^7	no	yes||no	?||at the basal margin	?	entire	0	one	?	?	no	?	no	at least one full leaf above the base	10^25	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	no ribs or wings	by two main valves, teeth or pores	sharply pointed (acute)||bluntly pointed (obtuse)	no	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	?	?	yes	?	?	1.5^3.5	0	?	?	?	?	resemble petals in color and texture	green to brown||pink to red	egg-shaped, but with the widest point above the middle (obovate)	one or more is much narrower or shorter than the others	?	?	?	?	?	?	?	0	?	yes	?	no	no	symmetrical	no	the edges are curled under	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	no	trail at the base, but may turn upwards at the tips	growing in tufts, or compact clusters with closely spaced stems||densely matted together in clumps, cushionlike	?	?	?	?	20^100	?	?	?	0	?	?	?	3^6	attached by its base to the filament	?	?	?	?	?	?	?	?	?	?	0	Polygala polygama	Polygala	Polygalaceae	Fabales
terrestrial	blue to purple||green to brown||pink to red||white	simple	entire	bilaterally symmetrical	5||3	fused into a cup or tube	8	dry and splits open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	no marks	no	?	?	?	above the point of petal  attachment	blue to purple||green to brown||pink to red||white	thin, delicate, pigmented	no	?	petals shorter than sepals	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	<=6.5	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	height is greater than width	with hairs	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	?	?	?	10^40	widest near the middle and tapering at both ends (elliptic)||very narrow with more or less parallel sides (linear)	uniform	1^5	no	yes||no	?||at the basal margin	?	entire	0	one	?	?	no	?	no	at least one full leaf above the base	10^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	no ribs or wings	by two main valves, teeth or pores	sharply pointed (acute)	no	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	?	?	yes	?	?	<=1.5	0	?	?	?	?	resemble petals in color and texture	green to brown||pink to red||white	widest below the middle and broadly tapering at both ends (ovate)	one or more is much narrower or shorter than the others	?	?	?	?	?	?	?	0	have a hard and bony or firm and leathery texture	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	?	upright or angled outwards	?	?	?	?	?	10^40	?	?	?	0	?	?	?	3^6	attached by its base to the filament	6^14	?	?	bluntly pointed (obtuse)||rounded	?	?	?	?	?	?	0	Polygala sanguinea	Polygala	Polygalaceae	Fabales
terrestrial||wetlands	white	simple	teeth	bilaterally symmetrical	5||3	not fused||fused into a cup or tube	8	dry and splits open	3^3.5	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	?	no	?	1	1	above the point of petal  attachment	white	thin, delicate, pigmented	no	?	?	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	13^80	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)	uniform	3^30	no	no	?	?	forward-pointing teeth	0	one	?	?	no	?	yes	at least one full leaf above the base	10^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	<=4.9	no ribs or wings	by two main valves, teeth or pores	?	plain, without glands or branches, and not tangled	?	?	?	bilaterally symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	?	upright or angled outwards	growing in tufts, or compact clusters with closely spaced stems||densely matted together in clumps, cushionlike	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2^14	?	?	?	?	?	?	?	?	?	?	Polygala senega	Polygala	Polygalaceae	Fabales
terrestrial	green to brown||pink to red||white	simple	entire	bilaterally symmetrical	5||3	fused into a cup or tube	8	dry and splits open	?	no	fused	no	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	1	no	?	no marks	no	?	?	?	above the point of petal  attachment	green to brown||pink to red||white	thin, delicate, pigmented	no	?	petals shorter than sepals	3	?	synoecious: all flowers have carpels and stamens	no	is different	no	<=2.6	5	?	attached at the bases of petals	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	height is greater than width	with hairs	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)||2 leaves per node (opposite)||>=3 leaves per node (whorled)	?	?	?	10^30	very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	yes||no	?||at the basal margin	?	entire	0	five||four||three||two||one	?	?	no	?	no	at least one full leaf above the base	10^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	no ribs or wings	by two main valves, teeth or pores	sharply pointed (acute)	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	yes	?	?	<=1.5	0	?	?	?	?	resemble petals in color and texture	green to brown||pink to red||white	widest near the middle and tapering at both ends (eliiptic)||lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	one or more is much narrower or shorter than the others	?	?	?	?	?	?	?	0	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	no	upright or angled outwards	?	?	?	?	?	6^40	?	?	?	0	?	?	?	3^6	attached by its base to the filament	6^14	?	?	bluntly pointed (obtuse)||rounded	?	?	?	?	?	?	0	Polygala verticillata	Polygala	Polygalaceae	Fabales
terrestrial	green to brown||pink to red||yellow	simple	entire	radially symmetrical	5	fused into a cup or tube	5||6||7||8	dry but does not split open	2.4^3.5	no	fused	?	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	?	?	no||yes	?	no marks	no	3	1	3	above the point of petal  attachment	green to brown||pink to red||yellow	green and/or leefy in texture||thin, delicate, pigmented	no||yes	?	?	2	?	synoecious: all flowers have carpels and stamens	no	is similar	no	2.6^4	3	yes	?	?	no	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	with tiny rounded bumps or projections (papillose)	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	?	?	8^35	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	3^15	no	yes	at the basal margin	?	entire	0	one	?	with two lobes at their tips	yes	?	no	at least one full leaf above the base	50^70	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2.6^4	?	?	rounded, with no point	no	?	?	no	radially symmetrical	?	smooth, with no hairs or scales	?	1^5	?	?	?	?	1.3^2	0	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)||urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim (urceolate)	?	rectangular but with rounded ends (oblong)	?	green or brown, and leaf-like in texture	green to brown||yellow	rectangular, but with rounded ends (oblong)	all about the same size	?	?	narrow, widest below the middle and tapering at both ends (lanceoloid)||egg-shaped (ovoid)	point upward or spread or curve outward	?	no	?	0	?	no	?	no	no	symmetrical	no||yes	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	0.3^1.5	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	yes	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	no	?	very thin but flexible, like a membrane||leaf-like	?	?	?	no||yes	yes	5^12	?	?	?	2.5^3.7	?	?	?	one or more are arched and enfolding, hood-shaped||one or more have a prominent keel (a ridge that runs along the midline from base to tip)	rounded	?	?	?	?	?	?	0	Polygonum achoreum	Polygonum	Polygonaceae	Caryophyllales
terrestrial	green to brown||pink to red||white	simple	entire	radially symmetrical	5	fused into a cup or tube	3||4||5||6||7||8	dry but does not split open	1.7^2.8	no	fused	?	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	two or more completely separate styles	?	no||yes	?	?	no	?	1	2^3	above the point of petal  attachment	green to brown||pink to red||white	thin, delicate, pigmented	no||yes	?	?	5	?	?	no	is similar	no	1.9^3	?	yes	?	?	no	?	?	?	?	perpendicular to the plane of the perianth (vertical)	?	with tiny rounded bumps or projections plus parallel lines or ridges (striate-papillose)	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^300	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)	uniform	?	no	yes||no	?	?	entire	0	one	?	with two lobes at their tips	yes	?	no	at least one full leaf above the base	20^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	sharply pointed (acute)	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	green to brown||pink to red||white	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	?	?	?	?	?	?	?	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polygonum arenarium	Polygonum	Polygonaceae	Caryophyllales
terrestrial	pink to red||white	simple	entire	radially symmetrical	5	not fused	8	dry but does not split open	2^2.8	no	fused	?	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	two or more completely separate styles	?	no||yes	?	spots or stripes||no marks	no	3	1	3	above the point of petal  attachment	pink to red||white	thin, delicate, pigmented	no	?	?	2	?	synoecious: all flowers have carpels and stamens	no	is similar	no	1.3^2.3	3	no	not attached to petals	?	no	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	smooth	?||dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	1.5^35	very narrow with more or less parallel sides (linear)	uniform	0.4^1.2	no	no	at the basal margin	?	entire	0	one	?	straight or slanted across the top||does not have tiny hairs at the tips	yes	?	no	at least one full leaf above the base	10^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	1.3^2.3	?	?	bluntly pointed (obtuse)	no	no||yes	?	no	radially symmetrical	no	smooth, with no hairs or scales	?	?	?	no	?	?	0.9^2.1	0	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	?	ellipse-shaped: widest near the middle and tapering at both ends (elliptic)	?	resemble petals in color and texture	pink to red||white	widest near the middle and tapering at both ends (eliiptic)||egg-shaped, but with the widest point above the middle (obovate)	all about the same size	?	?	?	?	1^1.3	no	yes	0	?	no	?	no	no	symmetrical	no	the edges are curled under	?	?	?	?	?	is dull or slightly shiny	0	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	no	yes	upright or angled outwards	?	no	?	very thin but flexible, like a membrane||leaf-like	?	13^40	?	no	?	?	?	no	?	?	?	?	?	one or more have a prominent keel (a ridge that runs along the midline from base to tip)	?	?	?	?	?	?	0.1	0	Polygonum articulatum	Polygonum	Polygonaceae	Caryophyllales
terrestrial||wetlands	green to brown||pink to red||white	simple	entire	radially symmetrical	5	fused into a cup or tube	5||6||7||8	dry but does not split open	1.2^4.2	no	fused	?	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	two or more completely separate styles	?	no||yes	?	no marks	no	3	1	3	above the point of petal  attachment	green to brown||pink to red||white	thin, delicate, pigmented	no||yes	?	?	2	?	synoecious: all flowers have carpels and stamens	no	is similar	no	1.8^5.5	3	yes	?	?	no	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||oval	with tiny rounded bumps or projections plus parallel lines or ridges (striate-papillose)	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	6^60	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||egg-shaped with the widest point above the middle (obovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	0.5^22	no	yes	at the basal margin	?	entire	0	one	?	smooth||with two lobes at their tips	yes	?	no	at least one full leaf above the base	5^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	1.8^5.5	?	?	sharply pointed (acute)||bluntly pointed (obtuse)||rounded, with no point	no	no	?	no	radially symmetrical	?	smooth, with no hairs or scales	?	1^8	?	?	?	?	80^200	0	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)||urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim (urceolate)	?	rectangular but with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	?	resemble petals in color and texture	green to brown||pink to red	rectangular, but with rounded ends (oblong)||egg-shaped, but with the widest point above the middle (obovate)	all about the same size	?	?	egg-shaped (ovoid)	point upward or spread or curve outward	?	no	?	0	?	no	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	0.3^9	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	yes	upright or angled outwards||trail at the base, but may turn upwards at the tips	growing in tufts, or compact clusters with closely spaced stems||densely matted together in clumps, cushionlike	no	?	very thin but flexible, like a membrane||leaf-like	?	?	?	no||yes	yes	3^15	?	?	?	2.5^4	?	?	?	one or more are arched and enfolding, hood-shaped	rounded	?	?	?	?	?	?	0	Polygonum aviculare	Polygonum	Polygonaceae	Caryophyllales
terrestrial	green to brown||pink to red||white	simple	entire	radially symmetrical	5	fused into a cup or tube	3||4||5||6||7||8	dry but does not split open	2.1^3	no	fused	?	no	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base||knob-like at the tip, and unbranched	?	no||yes	?	?	no	?	1	2^3	above the point of petal  attachment	green to brown||pink to red||white	thin, delicate, pigmented	no||yes	?	?	?	?	synoecious: all flowers have carpels and stamens	no	is similar	no	?	?	yes	?	?	no	?	at the tip of the style	?	?	perpendicular to the plane of the perianth (vertical)	?	with irregular bumps (rough)||smooth	dry, indehiscent, and usually one-seeded fruit (achene)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	15^35	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)	uniform	1^4	no	yes	?	?	entire	0	one	?	smooth||with two lobes at their tips	yes	?	no	at least one full leaf above the base	20^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	resemble petals in color and texture	green to brown||pink to red||white	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	?	no	?	?	?	?	?	?	?	?	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Polygonum bellardii	Polygonum	Polygonaceae	Caryophyllales
