Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ranunculus flabellaris
compound or simple	blue to purple	alternate	lobes or entire	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Solanum dulcamara
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex violascens
compound	blue to purple or pink to red	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & splits open or dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium purpureum
simple	blue to purple or white	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lobelia siphilitica
compound	?	alternate	lobes or teeth or entire	radially symmetrical	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Thalictrum dasycarpum
compound	blue to purple or green to brown or yellow	alternate	lobes or entire	radially symmetrical	6	unfused	6	dry & doesn't split open	no bulbils	blue to purple or green to brown or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Caulophyllum thalictroides
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	green to brown or pink to red	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex acetosa
compound	yellow	alternate	lobes	radially symmetrical	4	unfused	12 or 13	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Chelidonium majus
simple	pink to red	alternate or whorled	entire	radially symmetrical	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lechea intermedia
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla reptans
compound	white	alternate	lobes or entire	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Scandix pecten-veneris
compound	white	alternate	teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	branched umbel	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Cicuta maculata
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum oxyspermum
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Camelina microcarpa
compound or simple	blue to purple or pink to red or white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Raphanus sativus
simple	blue to purple or pink to red	basal	teeth or entire	radially symmetrical or bilaterally symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Pyrola asarifolia
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex obtusifolius
compound	blue to purple or green to brown	alternate	lobes or entire	radially symmetrical	6	unfused	6	dry & doesn't split open	no bulbils	blue to purple or green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Caulophyllum giganteum
compound	yellow	alternate	lobes or teeth	radially symmetrical	4 or 5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Potentilla argentea
simple	white or yellow	alternate or opposite	entire	bilaterally symmetrical	5	fused	4	dry & splits open or dry & doesn't split open or fleshy	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Proboscidea louisianica
simple	white	alternate	entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Berteroa incana
simple	blue to purple or orange or pink to red or yellow	alternate	teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or orange or pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Salpiglossis sinuata
simple	pink to red	opposite	entire	radially symmetrical	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Calandrinia ciliata
simple	white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cardamine bellidifolia
simple	blue to purple or white	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lobelia spicata
compound	yellow	alternate or basal	teeth or entire	bilaterally symmetrical	3 or 5	fused	1	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	insectivorous	no spines or with spines	Utricularia intermedia
simple	orange or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	orange or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Onosmodium virginianum
simple	yellow	alternate	teeth	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Verbascum phlomoides
simple	blue to purple or white	alternate or basal	entire	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lobelia dortmanna
compound	?	alternate	lobes or teeth	radially symmetrical	4 or 5 or 6 or 7	unfused	13	fleshy	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Actaea rubra
compound	green to brown or yellow	alternate	teeth or entire	bilaterally symmetrical	4 or 5	unfused	10	dry & doesn't split open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium dubium
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Melilotus indicus
compound	blue to purple or pink to red or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lathyrus sativus
simple	white or yellow	alternate	entire	radially symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	white or yellow	fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	parasitic on other plants	no spines or with spines	Pterospora andromedea
simple	blue to purple or pink to red	opposite	teeth or entire	bilaterally symmetrical	4	fused	1	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Veronica scutellata
